Ticker,Tag,Sharpe Ratio,Win Rate [%]
AMZN,long,3.1683060402,69.696969697
BAC,long,3.0043429446,59.375
CAT,long,3.2578198965,75.5102040816
CVX,long,3.0488917859,60.0
DIS,long,3.3335248229,70.9677419355
GLD,long,3.4521519819,71.186440678
HOOD,long,2.1491746868,66.2337662338
IBM,long,3.127054374,63.9344262295
JPM,long,3.7164109597,71.0144927536
META,long,2.8441810226,58.5714285714
NVDA,long,2.8481372523,75.0
SLV,long,2.7311613685,65.5737704918
SPY,long,3.9921809155,67.1641791045
TSLA,long,2.1193168762,63.7931034483
UBER,long,2.6997468491,69.5652173913
USO,long,2.8718028832,75.0
WMT,long,3.9577912667,72.3076923077
XOM,long,3.0764253341,61.9047619048
AMZN,short,2.1966662361,72.3404255319
BAC,short,2.6935753001,59.6153846154
CAT,short,2.1089803511,60.4651162791
CRWV,short,2.0341930838,75.0
CVX,short,2.4932917205,54.347826087
DIS,short,2.3361840837,57.1428571429
GLD,short,2.8834382693,71.6981132075
JPM,short,2.41107443,71.0526315789
META,short,2.2525541111,66.6666666667
MRNA,short,2.2803249846,65.9090909091
SLV,short,2.0435857627,52.2727272727
TSLA,short,2.1246860576,70.8333333333
UBER,short,2.4747431949,70.0
USO,short,2.2985447555,53.4482758621
WMT,short,2.0384066115,48.6486486486
XOM,short,2.8970728098,68.0
MRNA,long,1.7739063623,75.0
